Name,UPrivCount
android.permission.READ_CONTACTS,44217
android.permission.WAKE_LOCK,25033
android.permission.WRITE_EXTERNAL_STORAGE,14785
android.permission.RECORD_AUDIO,9788
android.permission.VIBRATE,9322
android.permission.READ_PHONE_STATE,8193
android.permission.ACCESS_WIFI_STATE,7313
android.permission.ACCESS_NETWORK_STATE,6886
android.permission.CAMERA,5347
android.permission.GET_ACCOUNTS,5182
android.permission.BROADCAST_STICKY,3415
android.permission.CHANGE_WIFI_STATE,3306
android.permission.INTERNET,3299
android.permission.GET_TASKS,2969
android.permission.USE_CREDENTIALS,2794
android.permission.MODIFY_AUDIO_SETTINGS,2588
android.permission.SET_WALLPAPER,2497
android.permission.CHANGE_COMPONENT_ENABLED_STATE,2271
android.permission.SEND_SMS,2192
android.permission.BLUETOOTH,2130
android.permission.RECEIVE_BOOT_COMPLETED,1821
android.permission.DISABLE_KEYGUARD,1526
android.permission.BACKUP,1016
android.permission.MANAGE_ACCOUNTS,1009
android.permission.WRITE_SETTINGS,961
android.permission.CHANGE_NETWORK_STATE,397
android.permission.BLUETOOTH_ADMIN,360
android.permission.PERSISTENT_ACTIVITY,354
android.permission.INJECT_EVENTS,351
android.permission.SET_PREFERRED_APPLICATIONS,303
android.permission.WRITE_CONTACTS,295
android.permission.ACCESS_FINE_LOCATION,283
android.permission.WRITE_SECURE_SETTINGS,210
android.permission.WRITE_SYNC_SETTINGS,163
android.permission.AUTHENTICATE_ACCOUNTS,152
android.permission.MODIFY_PHONE_STATE,143
android.permission.RECEIVE_SMS,112
android.permission.ACCESS_MOCK_LOCATION,104
android.permission.CHANGE_WIFI_MULTICAST_STATE,100
android.permission.ACCOUNT_MANAGER,85
android.permission.CONTROL_LOCATION_UPDATES,82
android.permission.RECEIVE_WAP_PUSH,66
android.permission.READ_SYNC_SETTINGS,65
android.permission.CALL_PHONE,58
android.permission.PROCESS_OUTGOING_CALLS,52
com.android.browser.permission.READ_HISTORY_BOOKMARKS,47
android.permission.INSTALL_PACKAGES,39
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,39
android.permission.DEVICE_POWER,38
android.permission.SET_WALLPAPER_HINTS,33
android.permission.DELETE_CACHE_FILES,29
android.permission.CLEAR_APP_USER_DATA,28
android.permission.DELETE_PACKAGES,28
android.permission.MOVE_PACKAGE,25
android.permission.REBOOT,24
android.permission.CLEAR_APP_CACHE,21
android.permission.SET_TIME_ZONE,17
android.permission.MOUNT_FORMAT_FILESYSTEMS,16
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,16
android.permission.READ_SYNC_STATS,16
android.permission.CHANGE_BACKGROUND_DATA_SETTING,11
android.permission.UPDATE_DEVICE_STATS,11
android.permission.ASEC_ACCESS,9
android.permission.ASEC_CREATE,9
android.permission.ASEC_DESTROY,9
android.permission.ASEC_MOUNT_UNMOUNT,9
android.permission.ASEC_RENAME,9
android.permission.CHANGE_CONFIGURATION,9
android.permission.RECEIVE_MMS,9
android.permission.SHUTDOWN,9
android.permission.BIND_APPWIDGET,8
android.permission.READ_LOGS,7
android.permission.READ_SMS,7
android.permission.BIND_DEVICE_ADMIN,6
android.permission.EXPAND_STATUS_BAR,6
android.permission.STATUS_BAR,6
android.permission.WRITE_SMS,6
android.permission.FORCE_STOP_PACKAGES,5
android.permission.SET_ALWAYS_FINISH,5
android.permission.SET_PROCESS_LIMIT,5
android.permission.SET_TIME,5
android.permission.BATTERY_STATS,4
android.permission.SET_ANIMATION_SCALE,4
android.permission.GET_PACKAGE_SIZE,3
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,2
android.permission.ACCESS_SURFACE_FLINGER,2
android.permission.DUMP,2
android.permission.INSTALL_LOCATION_PROVIDER,2
android.permission.MANAGE_APP_TOKENS,2
android.permission.READ_INPUT_STATE,2
android.permission.SET_ORIENTATION,2
android.permission.READ_CALENDAR,1
android.permission.REORDER_TASKS,1
android.permission.SET_WALLPAPER_COMPONENT,1
